Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Actors,Production Company,director_movie_nominated
Wings,Famous Players-Lasky,Winner,1927,144,"Drama,Romance,War",7.5,"12,221",PG-13,William Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman",unknown,2
Battleground,Metro-Goldwyn-Mayer,Nominee,1949,118,"Action,Drama,History",7.5,"6,970",NR,William Wellman,"Van Johnson, Ricardo Montalban, John Hodiak, George Murphy, James Whitmore, Douglas Fowley, Jerome Courtland, Leon Ames, Richard Jaeckel, Don Taylor, James Arness, Bruce Cowling, Scotty Beckett, Marshall Thompson, Herbert Anderson, Thomas E. Breen, Denise Darcel, Brett King, Ian MacDonald, 101st Airborne, Screaming Eagles, Edmon Ryan, Michael Brown, Roland Varno",MGM,2
7th Heaven,Fox,Nominee,1927,110,"Drama,Romance",7.7,"3,439",unknown,unknown,unknown,unknown,0
The Racket,The Caddo Company,Nominee,1928,84,"Crime,Drama,Film-Noir",6.7,"1,257",unknown,unknown,unknown,unknown,0
Alibi,Feature Productions,Nominee,1929,91,"Action,Crime,Romance",5.8,765,unknown,unknown,unknown,unknown,0
Hollywood Revue,Metro-Goldwyn-Mayer,Nominee,1929,130,"Comedy,Music",5.7,"2,004",unknown,unknown,unknown,unknown,0
The Patriot,Paramount Famous Lasky,Nominee,1928,113,"Drama,History,Thriller",7.4,18,unknown,unknown,unknown,unknown,0
All Quiet on the Western Front,Universal,Winner,1930,152,"Drama,War",8.1,"59,214",unknown,unknown,unknown,unknown,0
Disraeli,Warner Bros.,Nominee,1929,90,"Biography,Drama,History",6.2,"1,143",unknown,unknown,unknown,unknown,0
The Divorcee,Metro-Goldwyn-Mayer,Nominee,1930,84,"Romance,Drama",6.7,"2,982",unknown,unknown,unknown,unknown,0
The Love Parade,Paramount Famous Lasky,Nominee,1929,107,"Comedy,Musical,Romance",7.0,"2,163",unknown,unknown,unknown,unknown,0
East Lynne,Fox,Nominee,1931,102,"Drama,Romance",5.9,188,unknown,unknown,unknown,unknown,0
The Front Page,The Caddo Company,Nominee,1931,101,"Comedy,Crime,Drama",6.8,"2,741",unknown,unknown,unknown,unknown,0
Skippy,Paramount Publix,Nominee,1931,85,"Comedy,Drama,Family",6.3,772,unknown,unknown,unknown,unknown,0
Trader Horn,Metro-Goldwyn-Mayer,Nominee,1931,122,"Action,Adventure,Drama",6.3,957,unknown,unknown,unknown,unknown,0
Arrowsmith,Samuel Goldwyn Productions,Nominee,1931,108,Drama,6.2,"1,663",unknown,unknown,unknown,unknown,0
Bad Girl,Fox,Nominee,1931,90,"Drama,Romance",6.5,"1,248",unknown,unknown,unknown,unknown,0
Five Star Final,First National,Nominee,1931,89,"Crime,Drama",7.3,"1,944",unknown,unknown,unknown,unknown,0
One Hour with You,Paramount Publix,Nominee,1932,78,"Comedy,Musical,Romance",7.2,"2,317",unknown,unknown,unknown,unknown,0
Shanghai Express,Paramount Publix,Nominee,1932,82,"Adventure,Drama,Romance",7.3,"8,325",unknown,unknown,unknown,unknown,0
The Smiling Lieutenant,Paramount Publix,Nominee,1931,93,"Comedy,Romance,Musical",7.2,"3,540",unknown,unknown,unknown,unknown,0
I Am a Fugitive from a Chain Gang,Warner Bros.,Nominee,1932,92,"Crime,Drama,Film-Noir",8.2,"12,604",unknown,unknown,unknown,unknown,0
Lady for a Day,Columbia,Nominee,1933,96,"Comedy,Drama",7.4,"3,971",unknown,unknown,unknown,unknown,0
Smilin' Through,Metro-Goldwyn-Mayer,Nominee,1932,98,"Drama,Romance",6.9,"1,266",unknown,unknown,unknown,unknown,0
State Fair,Fox,Nominee,1933,99,"Comedy,Drama,Romance",6.8,829,unknown,unknown,unknown,unknown,0
Cleopatra,Paramount,Nominee,1934,100,"Biography,Drama,History",6.8,"3,678",unknown,unknown,unknown,unknown,0
Flirtation Walk,First National,Nominee,1934,97,"Musical,Romance",5.7,700,unknown,unknown,unknown,unknown,0
Here Comes the Navy,Warner Bros.,Nominee,1934,87,"Comedy,Drama,Romance",6.3,940,unknown,unknown,unknown,unknown,0
The House of Rothschild,20th Century,Nominee,1934,88,"Biography,Drama,History",6.6,"1,127",unknown,unknown,unknown,unknown,0
One Night of Love,Columbia,Nominee,1934,84,"Music,Romance",5.7,577,unknown,unknown,unknown,unknown,0
Viva Villa!,Metro-Goldwyn-Mayer,Nominee,1934,115,"Action,Biography,Romance",6.4,"1,277",unknown,unknown,unknown,unknown,0
The White Parade,Jesse L. Lasky (production company),Nominee,1934,80,Drama,6.8,86,unknown,unknown,unknown,unknown,0
Broadway Melody of 1936,Metro-Goldwyn-Mayer,Nominee,1935,101,"Musical,Romance",6.8,"1,662",unknown,unknown,unknown,unknown,0
David Copperfield,Metro-Goldwyn-Mayer,Nominee,1935,130,"Adventure,Drama,Romance",7.4,"4,069",unknown,unknown,unknown,unknown,0
The Lives of a Bengal Lancer,Paramount,Nominee,1935,109,"Adventure,Drama,War",7.1,"2,813",unknown,unknown,unknown,unknown,0
Les Misérables,20th Century,Nominee,1935,108,"Drama,History,Romance",7.7,"3,468",unknown,unknown,unknown,unknown,0
Naughty Marietta,Metro-Goldwyn-Mayer,Nominee,1935,105,"Drama,Musical,Romance",6.7,"1,307",unknown,unknown,unknown,unknown,0
Ruggles of Red Gap,Paramount,Nominee,1935,90,"Comedy,Romance,Western",7.6,"3,874",unknown,unknown,unknown,unknown,0
Anthony Adverse,Warner Bros.,Nominee,1936,141,"Adventure,Drama,Romance",6.4,"1,706",unknown,unknown,unknown,unknown,0
The Story of Louis Pasteur,Cosmopolitan,Nominee,1936,86,"Biography,Drama,History",7.3,"2,601",unknown,unknown,unknown,unknown,0
In Old Chicago,20th Century-Fox,Nominee,1938,95,"Action,Drama,Musical",6.8,"2,233",unknown,unknown,unknown,unknown,0
One Hundred Men and a Girl,Universal,Nominee,1937,84,"Comedy,Drama,Music",6.8,"1,029",unknown,unknown,unknown,unknown,0
You Can't Take It with You,Columbia,Winner,1938,126,"Comedy,Drama,Romance",7.9,"24,466",unknown,unknown,unknown,unknown,0
Four Daughters,Warner Bros.-First National,Nominee,1938,90,"Drama,Music,Romance",6.9,"1,881",unknown,unknown,unknown,unknown,0
Grand Illusion,Realization D'Art Cinematographique,Nominee,1937,113,"Drama,War",8.1,"35,191",unknown,unknown,unknown,unknown,0
Jezebel,Warner Bros.,Nominee,1938,104,"Drama,Romance",7.5,"12,874",unknown,unknown,unknown,unknown,0
Pygmalion,Metro-Goldwyn-Mayer,Nominee,1938,89,"Comedy,Drama,Romance",7.8,"8,321",unknown,unknown,unknown,unknown,0
Test Pilot,Metro-Goldwyn-Mayer,Nominee,1938,119,"Drama,Romance",6.9,"2,323",unknown,unknown,unknown,unknown,0
Gone with the Wind,Selznick International Pictures,Winner,1939,238,"Drama,History,Romance",8.1,"300,592",unknown,unknown,unknown,unknown,0
Rebecca,Selznick International Pictures,Winner,1940,130,"Drama,Mystery,Romance",8.1,"130,546",unknown,unknown,unknown,unknown,0
The Long Voyage Home,Argosy-Wanger,Nominee,1940,105,"Drama,War",7.0,"4,139",unknown,unknown,unknown,unknown,0
Hold Back the Dawn,Paramount,Nominee,1941,116,"Drama,Romance",7.4,"2,247",unknown,unknown,unknown,unknown,0
One Foot in Heaven,Warner Bros.,Nominee,1941,108,"Biography,Drama",6.8,"1,213",unknown,unknown,unknown,unknown,0
49th Parallel,Ortus,Nominee,1941,123,"Drama,Thriller,War",7.3,"6,333",unknown,unknown,unknown,unknown,0
The Pied Piper,20th Century-Fox,Nominee,1942,87,"Drama,War",7.1,565,unknown,unknown,unknown,unknown,0
Wake Island,Paramount,Nominee,1942,88,"Action,Drama,War",6.8,"1,924",unknown,unknown,unknown,unknown,0
The Ox-Bow Incident,20th Century-Fox,Nominee,1942,75,"Adventure,Drama,Western",8.0,"22,189",unknown,unknown,unknown,unknown,0
Since You Went Away,Selznick International Pictures,Nominee,1944,177,"Drama,Romance,War",7.5,"4,428",unknown,unknown,unknown,unknown,0
Wilson,20th Century-Fox,Nominee,1944,154,"Biography,Drama,History",6.4,"1,525",unknown,unknown,unknown,unknown,0
The Bells of St. Mary's,Rainbow Productions,Nominee,1945,126,Drama,7.3,"7,546",unknown,unknown,unknown,unknown,0
Spellbound,Selznick International Pictures,Nominee,1945,111,"Film-Noir,Mystery,Romance",7.5,"46,578",unknown,unknown,unknown,unknown,0
Henry V,Two Cities Films,Nominee,1944,137,"Biography,Drama,History",7.1,"6,145",unknown,unknown,unknown,unknown,0
The Bishop's Wife,Samuel Goldwyn Productions,Nominee,1947,109,"Comedy,Drama,Fantasy",7.6,"15,790",unknown,unknown,unknown,unknown,0
Great Expectations,J. Arthur Rank-Cineguild,Nominee,1946,118,"Adventure,Drama,Mystery",7.8,"23,120",unknown,unknown,unknown,unknown,0
The Heiress,Paramount,Nominee,1949,115,"Drama,Romance",8.2,"14,871",unknown,unknown,unknown,unknown,0
Quo Vadis,Sam Zimbalist,Nominee,1951,171,"Biography,Drama,History",7.2,"14,371",unknown,unknown,unknown,unknown,0
Love Is a Many-Splendored Thing,Buddy Adler,Nominee,1955,102,"Biography,Drama,Romance",6.5,"4,688",unknown,unknown,unknown,unknown,0
12 Angry Men,Henry Fonda and Reginald Rose,Nominee,1957,96,"Crime,Drama",9.0,"725,938",unknown,unknown,unknown,unknown,0
Sayonara,William Goetz,Nominee,1957,147,"Drama,Romance",7.1,"6,473",unknown,unknown,unknown,unknown,0
Room at the Top,John Woolf and James Woolf,Nominee,1959,115,"Drama,Romance",7.5,"5,746",unknown,unknown,unknown,unknown,0
Elmer Gantry,Bernard Smith,Nominee,1960,146,Drama,7.8,"11,043",unknown,unknown,unknown,unknown,0
Sons and Lovers,Jerry Wald,Nominee,1960,103,Drama,7.1,"1,506",unknown,unknown,unknown,unknown,0
Fanny,Joshua Logan,Nominee,1961,134,"Drama,Romance",6.9,"2,121",unknown,unknown,unknown,unknown,0
Judgment at Nuremberg,Stanley Kramer,Nominee,1961,179,"Drama,War",8.2,"73,363",unknown,unknown,unknown,unknown,0
To Kill a Mockingbird,Alan J. Pakula,Nominee,1962,129,"Crime,Drama",8.3,"303,387",unknown,unknown,unknown,unknown,0
How the West Was Won,Bernard Smith,Nominee,1962,164,Western,7.1,"19,741",unknown,unknown,unknown,unknown,0
My Fair Lady,Jack L. Warner,Winner,1964,170,"Drama,Family,Musical",7.8,"90,361",unknown,unknown,unknown,unknown,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Nominee,1964,95,Comedy,8.4,"466,261",unknown,unknown,unknown,unknown,0
Zorba the Greek,Michael Cacoyannis,Nominee,1964,142,"Comedy,Drama",7.7,"21,591",NR,unknown,"Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova, Georges Foundas, Eleni Anousaki, Sotiris Moustakas, Takis Emmanuel, George Voyadjis, Anna Kyriakou, Yorgo Voyagis",Fox Searchlight,0
A Thousand Clowns,Fred Coe,Nominee,1965,118,"Comedy,Drama,Romance",7.4,"3,349",unknown,unknown,unknown,unknown,0
The Emigrants,Bengt Forslund,Nominee,1971,151,"Drama,History",8.0,"6,121",unknown,unknown,unknown,unknown,0
Sounder,Robert B. Radnitz,Nominee,1972,105,"Drama,Family",7.6,"3,920",unknown,unknown,unknown,unknown,0
The Godfather Part II,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",Winner,1974,202,"Crime,Drama",9.0,"1,178,981",unknown,unknown,unknown,unknown,0
Bound for Glory,Robert F. Blumofe and Harold Leventhal,Nominee,1976,147,"Biography,Drama,Music",7.3,"4,892",unknown,unknown,unknown,unknown,0
Julia,Richard Roth,Nominee,1977,117,Drama,7.2,"9,219",unknown,unknown,unknown,unknown,0
Star Wars,Gary Kurtz,Nominee,1977,121,"Action,Adventure,Fantasy",8.6,"1,272,908",unknown,unknown,unknown,unknown,0
The Turning Point,Herbert Ross and Arthur Laurents,Nominee,1977,119,"Drama,Romance",6.9,"4,457",unknown,unknown,unknown,unknown,0
Coming Home,Jerome Hellman,Nominee,1978,127,"Drama,Romance,War",7.3,"13,023",unknown,unknown,unknown,unknown,0
An Unmarried Woman,Paul Mazursky and Tony Ray,Nominee,1978,124,"Comedy,Drama,Romance",7.2,"5,113",unknown,unknown,unknown,unknown,0
